epoch,loss_dp,loss_heat,score_dp,score_heat
1,0.669549,0.082004,0.0000,0.0000
2,0.083614,0.009885,0.0000,0.0000
3,0.049029,0.008817,0.0000,0.0000
4,0.041153,0.008054,0.0000,0.0000
5,0.037709,0.007835,0.0000,0.0000
6,0.034499,0.007033,0.2143,0.0000
7,0.033186,0.006270,0.2299,0.0000
8,0.032140,0.005805,0.0000,0.0000
9,0.029750,0.005047,0.2245,0.0000
10,0.028966,0.004923,0.0000,0.0000
11,0.027954,0.004624,0.4067,0.0000
12,0.027841,0.004267,0.0000,0.0000
13,0.025973,0.003845,0.0000,0.0000
14,0.024990,0.003664,0.6043,0.0000
15,0.024272,0.003464,0.0000,0.0000
16,0.023767,0.003306,0.0000,0.3859
17,0.022628,0.003047,0.2032,0.1965
18,0.022271,0.002944,0.0000,0.3012
19,0.022366,0.002904,0.0544,0.3987
20,0.021519,0.002877,0.2859,0.9960
21,0.021267,0.002586,0.6303,0.8468
22,0.020735,0.002514,0.9391,0.7099
23,0.020805,0.002298,0.0000,0.8577
24,0.019808,0.002018,0.2171,0.9507
25,0.018751,0.002244,0.6040,0.9542
26,0.020302,0.002134,0.1854,0.9511
27,0.019591,0.002093,0.9427,0.9407
28,0.018803,0.002109,0.9663,0.9951
29,0.018370,0.001775,0.7264,0.8948
30,0.018589,0.001805,0.9817,0.7621
31,0.018256,0.001524,0.5578,0.9230
32,0.018032,0.001647,0.8931,0.9654
33,0.017972,0.001463,1.0000,0.8914
34,0.017482,0.001565,0.8448,0.9395
35,0.018072,0.001508,0.6056,0.9608
36,0.017065,0.001351,0.9968,0.9549
37,0.016889,0.001410,0.9917,0.9259
38,0.017450,0.001427,0.9890,0.9825
39,0.016650,0.001292,1.0000,1.0000
40,0.016719,0.001255,0.4921,1.0000
41,0.016056,0.001290,0.9414,0.8512
42,0.015627,0.001104,0.9476,0.8720
43,0.015886,0.001059,0.8983,1.0000
44,0.015654,0.001189,0.9736,1.0000
45,0.015088,0.001070,1.0000,1.0000
46,0.015771,0.001158,0.9465,1.0000
47,0.014380,0.001053,0.8261,1.0000
48,0.015189,0.001036,1.0000,0.9858
49,0.014968,0.000896,0.8488,0.9786
50,0.013422,0.000855,0.9807,0.9755
51,0.014385,0.000941,0.4899,1.0000
52,0.014212,0.000878,0.8454,0.9972
53,0.014177,0.000960,0.0195,1.0000
54,0.013569,0.000974,0.9302,0.9727
55,0.013932,0.000825,1.0000,1.0000
56,0.014000,0.000722,0.9524,1.0000
57,0.013535,0.000793,0.9368,0.9732
58,0.013503,0.000765,0.9665,0.9867
59,0.013445,0.000736,1.0000,0.9821
60,0.012377,0.000755,0.9370,1.0000
61,0.012780,0.000674,0.9952,0.9984
62,0.013265,0.000626,1.0000,0.9194
63,0.012596,0.000636,0.9690,1.0000
64,0.012317,0.000570,1.0000,0.9228
65,0.012568,0.000600,0.9891,0.9319
66,0.011827,0.000631,1.0000,0.9453
67,0.011797,0.000538,0.9743,0.9209
68,0.011642,0.000530,0.9760,0.9594
69,0.011996,0.000468,0.9326,0.9301
70,0.011123,0.000456,0.9911,0.9586
71,0.011195,0.000513,0.9986,0.9328
72,0.010765,0.000454,0.9535,0.9510
73,0.011207,0.000423,1.0000,0.9220
74,0.010840,0.000421,0.9851,0.9903
75,0.010378,0.000380,0.9989,0.9475
76,0.010281,0.000377,0.9851,0.9027
77,0.010429,0.000364,1.0000,0.9088
78,0.010614,0.000353,1.0000,0.9132
79,0.010101,0.000336,1.0000,0.9324
80,0.010087,0.000326,0.9854,0.9369
81,0.009576,0.000309,1.0000,0.9428
82,0.010018,0.000308,0.9655,0.9455
83,0.009889,0.000298,1.0000,0.9474
84,0.009314,0.000296,0.8677,0.9498
85,0.009569,0.000281,0.9702,0.9472
86,0.009573,0.000276,0.9824,0.9827
87,0.008657,0.000268,1.0000,0.9520
88,0.009357,0.000262,0.9182,1.0000
89,0.009045,0.000257,0.9905,0.9904
90,0.008809,0.000249,0.9849,0.9924
91,0.009008,0.000245,1.0000,0.9699
92,0.008809,0.000243,0.9407,0.9682
93,0.008460,0.000238,1.0000,1.0000
94,0.008918,0.000232,1.0000,1.0000
95,0.009039,0.000234,0.9569,1.0000
96,0.008636,0.000233,0.8834,1.0000
97,0.008500,0.000233,1.0000,0.9942
98,0.008368,0.000227,1.0000,0.9949
99,0.008856,0.000230,1.0000,1.0000
100,0.008407,0.000227,1.0000,1.0000
